,Average Amount/transaction/day,Transaction_amount,Is declined,Total Number of declines/day,isForeignTransaction,isHighRiskCountry,Daily_chargeback_avg_amt,6_month_avg_chbk_amt,6-month_chbk_freq,isFradulent
1,100.0,4300.0,0,5,1,1,0,0.0,0,1
2,185.5,4823.0,1,5,0,0,0,0.0,0,1
3,185.5,5008.5,1,8,0,0,0,0.0,0,1
4,500.0,26000.0,0,0,1,1,800,677.2,6,1
5,500.0,27000.0,0,0,1,1,800,677.2,6,1
6,262.5,11287.5,0,0,0,0,900,345.5,7,1
7,185.5,11130.0,1,20,0,0,0,0.0,0,1
8,185.5,6121.5,1,20,0,0,0,0.0,0,1
9,185.5,7049.0,1,20,0,0,0,0.0,0,1
10,166.788473,4836.865717,0,0,0,0,721,229.0,9,1
11,444.9970144,21804.85371,0,0,1,1,0,0.0,0,1
12,152.451565,4116.192255,0,0,1,1,865,375.0,8,1
13,36.91948763,2141.330283,0,5,1,1,0,0.0,0,1
14,806.1795426,23379.20674,0,0,0,0,816,811.0,5,1
15,257.0911668,10283.64667,0,4,1,0,0,0.0,0,1
16,601.4529708,24659.5718,0,7,0,0,0,0.0,0,1
17,222.5298151,12461.66965,0,9,1,0,0,0.0,0,1
18,231.0673178,12708.70248,0,0,0,0,986,650.0,8,1
19,675.5694754,39858.59905,0,9,1,0,0,0.0,0,1
20,242.1517429,10654.67669,0,0,1,1,0,0.0,0,1
21,804.7617661,42652.3736,0,0,0,0,953,950.0,8,1
22,432.0302518,22033.54284,0,8,1,1,0,0.0,0,1
23,356.8122632,16056.55184,0,9,1,1,0,0.0,0,1
24,456.2831178,15057.34289,0,0,1,1,0,0.0,0,1
25,780.688498,36692.35941,0,0,1,0,896,839.0,6,1
26,947.4890276,44531.9843,0,7,1,0,0,0.0,0,1
27,172.5157672,5002.957249,0,9,1,1,0,0.0,0,1
28,111.3750711,5680.128626,0,2,1,0,0,0.0,0,1
29,679.9403346,38076.65874,0,0,1,1,0,0.0,0,1
30,476.8645865,26704.41684,0,3,1,0,0,0.0,0,1
31,563.054548,23085.23647,0,2,1,0,0,0.0,0,1
32,205.8614188,11528.23945,0,0,1,0,0,0.0,0,1
33,998.3440744,26955.29001,0,0,1,1,701,585.0,8,1
34,724.0674699,43444.04819,0,0,0,0,877,814.0,7,1
35,85.54822336,3165.284264,0,0,0,0,454,230.0,7,1
36,253.6174611,9891.080983,0,2,1,1,0,0.0,0,1
37,18.66793542,784.0532876,0,0,1,0,973,469.0,8,1
38,345.2290256,13118.70297,0,0,1,0,970,758.0,3,1
